user_id,product_id,rating,review_text
114,693,1,Waste of money.
107,631,2,Would not recommend.
113,568,1,Poor quality.
86,451,5,Awesome!
13,85,3,Decent product.
125,872,1,Would not recommend.
34,867,3,"Okay, but could be better."
84,1041,3,"Okay, but could be better."
14,827,1,Would not recommend.
41,923,2,Poor quality.
120,1012,3,Decent product.
93,470,4,Excellent quality.
105,1132,1,Terrible experience.
103,601,1,Waste of money.
137,587,4,Highly recommended.
10,1098,5,Awesome!
65,1078,5,Awesome!
152,1111,5,Excellent quality.
117,1022,1,Waste of money.
161,455,1,Terrible experience.
44,1135,2,Poor quality.
45,858,3,"Okay, but could be better."
69,774,3,Decent product.
91,115,5,Great product!
104,424,2,Poor quality.
118,350,4,Awesome!
27,207,3,"Okay, but could be better."
17,921,4,Fair product.
54,784,5,Great product!
112,355,1,Terrible experience.
51,81,4,Great product!
72,1103,4,Fair product.
3,1089,4,Best purchase ever!
35,786,5,Best purchase ever!
32,184,4,Great product!
37,3,2,Disappointing.
81,1117,4,Excellent quality.
17,311,2,Would not recommend.
62,1053,4,Average quality.
159,458,1,Would not recommend.
122,857,5,Excellent quality.
148,120,5,Great product!
66,331,4,Great product!
33,416,5,Awesome!
68,241,1,Disappointing.
135,1075,3,"Okay, but could be better."
4,223,3,Fair product.
96,455,4,Great product!
123,1120,1,Would not recommend.
153,406,4,Great product!
134,782,4,Great product!
176,626,1,Would not recommend.
107,446,5,Highly recommended.
10,88,4,"Okay, but could be better."
77,1067,4,Excellent quality.
135,907,5,Highly recommended.
130,997,3,"Not bad, but not great."
75,821,3,Fair product.
6,705,4,Best purchase ever!
38,1082,3,Decent product.
125,764,1,Waste of money.
156,20,2,Would not recommend.
156,881,1,Poor quality.
123,568,2,Terrible experience.
79,786,2,Terrible experience.
128,60,3,Fair product.
120,907,2,Terrible experience.
136,549,5,Awesome!
32,896,3,Fair product.
79,788,5,Highly recommended.
8,140,3,"Okay, but could be better."
177,892,5,Excellent quality.
84,512,4,Decent product.
150,796,5,Awesome!
154,128,3,"Okay, but could be better."
53,868,4,"Okay, but could be better."
65,327,1,Waste of money.
75,801,2,Waste of money.
5,93,2,Would not recommend.
98,885,3,"Not bad, but not great."
23,198,1,Would not recommend.
31,931,3,Decent product.
18,780,2,Waste of money.
108,648,4,Average quality.
118,781,2,Would not recommend.
126,84,1,Terrible experience.
130,225,2,Disappointing.
4,14,3,Average quality.
24,950,5,Highly recommended.
86,237,1,Would not recommend.
28,893,5,Best purchase ever!
140,578,3,"Not bad, but not great."
108,382,4,Awesome!
25,688,2,Terrible experience.
63,739,2,Disappointing.
149,228,1,Poor quality.
151,289,1,Would not recommend.
125,379,3,"Not bad, but not great."
161,124,3,"Okay, but could be better."
52,148,1,Would not recommend.
91,226,1,Waste of money.
38,306,2,Terrible experience.
35,693,1,Disappointing.
30,1055,4,Decent product.
29,832,4,Great product!
140,986,1,Terrible experience.
43,100,5,Great product!
11,752,3,Fair product.
35,584,5,Excellent quality.
33,436,2,Terrible experience.
151,312,1,Waste of money.
125,139,1,Would not recommend.
6,619,3,Average quality.
60,385,3,Fair product.
105,24,2,Disappointing.
53,888,1,Poor quality.
84,686,3,Fair product.
88,241,5,Best purchase ever!
159,728,4,Best purchase ever!
2,815,5,Highly recommended.
41,106,4,Awesome!
94,1021,1,Terrible experience.
106,397,4,Decent product.
2,232,5,Highly recommended.
92,65,2,Waste of money.
142,2,5,Great product!
139,897,3,"Okay, but could be better."
101,1151,5,Best purchase ever!
33,959,2,Disappointing.
153,1015,5,Highly recommended.
129,71,4,Awesome!
69,26,5,Best purchase ever!
145,142,2,Disappointing.
36,528,5,Highly recommended.
154,976,1,Waste of money.
20,621,5,Best purchase ever!
156,159,4,Great product!
162,354,2,Poor quality.
46,194,3,"Not bad, but not great."
122,982,4,Best purchase ever!
30,838,1,Poor quality.
132,28,5,Highly recommended.
109,493,1,Waste of money.
67,844,3,Decent product.
80,865,1,Would not recommend.
75,278,3,"Okay, but could be better."
95,36,1,Disappointing.
13,126,3,Average quality.
125,1046,2,Waste of money.
177,240,3,Average quality.
76,461,1,Waste of money.
102,351,3,Decent product.
102,818,3,"Okay, but could be better."
121,193,1,Disappointing.
28,246,3,Average quality.
36,610,4,Average quality.
1,256,4,Best purchase ever!
44,242,1,Would not recommend.
83,794,4,"Okay, but could be better."
108,675,4,Awesome!
148,826,2,Waste of money.
130,43,4,Excellent quality.
11,410,4,Average quality.
32,35,1,Terrible experience.
128,114,1,Terrible experience.
87,1078,1,Waste of money.
153,204,4,Awesome!
75,80,1,Poor quality.
105,646,1,Disappointing.
157,697,4,Decent product.
176,965,3,"Okay, but could be better."
14,64,4,Awesome!
159,1012,2,Poor quality.
136,1023,3,"Not bad, but not great."
99,1117,5,Best purchase ever!
104,1026,3,"Not bad, but not great."
11,526,2,Would not recommend.
62,220,2,Waste of money.
22,907,5,Great product!
18,20,3,Fair product.
110,270,4,"Not bad, but not great."
101,621,1,Would not recommend.
67,683,5,Great product!
48,54,2,Disappointing.
27,812,2,Terrible experience.
45,606,5,Great product!
174,424,4,"Okay, but could be better."
36,262,1,Terrible experience.
132,409,3,Fair product.
120,700,1,Poor quality.
51,264,5,Excellent quality.
156,985,5,Great product!
177,6,3,"Not bad, but not great."
84,485,2,Disappointing.
11,731,3,Decent product.
61,154,4,Great product!
42,487,4,Great product!
128,510,1,Disappointing.
14,620,3,Fair product.
15,951,2,Terrible experience.
152,35,3,Average quality.
3,921,4,Great product!
