id,product_name,price,currency,store_name,image_url,product_link,price_tags
1,BIONA SPELT TAGLAITELLE SPINACH  250G,78,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/HEALTHY%20FOODIE/FOODIE/biona/BIONA%20001-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/BIONA-SPELT-TAGLAITELLE-SPINACH-250G?limit=100,Budget
2,FRENCH BEANS  500G,180,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/french%20beans-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRENCH-BEANS-500G-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
3,FRESH APPLES PINK LADY PER KG,495,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Fruits%20n%20Vegetables/FRESH%20APPLES%20PINKLADY-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-APPLES-PINK-LADY-PER-KG?limit=100,Budget
4,FRESH BLACK BERRIES,550,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20black%20berries-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-BLACK-BERRIES-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
5,FRESH BUTTON MUSHROOM,349,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/printers/HYT-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-BUTTON-MUSHROOM-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
6,FRESH CARROTS PER KG,199,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/CARROTS-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-CARROTS-PER-KG?limit=100,Budget
7,FRESH COURGETTES/ZUCCHINI PER KG,192,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/COJET-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-COURGETTES-ZUCCHINI-PER-KG?limit=100,Budget
8,FRESH DHANIA,25,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Meat%20Depot/DHANIA-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-DHANIA?limit=100,Budget
9,FRESH GREEN MAIZE,59,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Food/fresh-maize-white-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-GREEN-MAIZE-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
10,FRESH IMPORTED NECTARINE PER KG,1605,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20imported%20nectarine-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-IMPORTED-NECTARINE-PER-KG-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
11,FRESH IMPORTED PEACHES PER KG,1605,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20imported%20peaches-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-IMPORTED-PEACHES-PER-KG-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
12,FRESH IMPORTED PLUMS PER KG,1665,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20imported%20plums-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-IMPORTED-PLUMS-PER-KG-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
13,FRESH KARERA PER KG,180,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/fresh%20karera-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH%20KARERA%20PER%20KG-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
14,FRESH RED ONIONS 1KG,239,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Fruits%20n%20Vegetables/Fresh-red-onions-200x200.JPG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-RED-ONIONS-1KG?limit=100,Budget
15,FRESH SNOW PEAS PACK 200G,95,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Food/FRESH%20SNOW%20PEAS%20PACK-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/FRESH-SNOW-PEAS-PACK-200G?limit=100,Budget
16,FRESH TOMATOES PER KG,130,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Fruits%20n%20Vegetables/FRESH%20TOMATOES-200x200.jpg,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/buy-fresh-tomatoes-online-in-nairobi-kenya?limit=100,Budget
17,GOLDEN VALLEY 420G MIXED VEGETABLES,160,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/%201%20downloads%20/CARREFOUR/MIXED_VEGES-removebg-preview-200x200.png,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/GOLDEN-VALLEY-420G-MIXED-VEGETABLES%20?limit=100,Budget
18,KESTANE CHESNUTS PER KG,2505,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/kestane%20chesnuts-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/KESTANE-CHESNUTS-PER-KG?limit=100,Budget
19,KIWI FRUIT 4PCS,750,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/0%20backnd%20D-L/kiwi%20fruit-200x200.PNG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/KIWI-FRUIT-4PCS-NOW-AVAILABLE-ON-E-MART?limit=100,Budget
20,KIWI FRUIT 6PCS,950,KES,E-Mart,https://e-mart.co.ke/image/cache/catalog/Food/KIWI_FRUIT-200x200.JPG,http://e-mart.co.ke/food-groceries/fresh-food/fruits-vegetables/KIWI_%20FRUIT_%206PCS?limit=100,Budget
